code,name,industry,alpha
002120.SZ,韵达股份,交通运输,1.07
600548.SH,深高速,交通运输,1.04
300226.SZ,上海钢联,传媒,1.02
002174.SZ,游族网络,传媒,1.00
000048.SZ,康达尔,农林牧渔,1.35
300189.SZ,神农科技,农林牧渔,0.91
300122.SZ,智飞生物,医药,1.71
300142.SZ,沃森生物,医药,1.33
000516.SZ,国际医学,商贸零售,1.45
000560.SZ,我爱我家,商贸零售,1.10
600855.SH,航天长峰,国防军工,1.37
600862.SH,中航高科,国防军工,0.75
300132.SZ,青松股份,基础化工,1.34
300107.SZ,建新股份,基础化工,1.17
300272.SZ,开能健康,家电,1.59
002032.SZ,苏泊尔,家电,0.85
002225.SZ,濮耐股份,建材,1.02
002798.SZ,帝欧家居,建材,0.97
300506.SZ,名家汇,建筑,0.91
002755.SZ,奥赛康,建筑,0.84
601155.SH,新城控股,房地产,1.11
600724.SH,宁波富达,房地产,0.99
603260.SH,合盛硅业,有色金属,1.48
000831.SZ,五矿稀土,有色金属,0.85
603486.SH,科沃斯,机械,1.17
300280.SZ,紫天科技,机械,1.15
002607.SZ,中公教育,汽车,1.23
300176.SZ,派生科技,汽车,1.15
002159.SZ,三特索道,消费者服务,1.44
002059.SZ,云南旅游,消费者服务,0.74
600740.SH,山西焦化,煤炭,1.10
002753.SZ,永东股份,煤炭,0.53
000037.SZ,深南电A,电力及公用事业,0.91
000720.SZ,新能泰山,电力及公用事业,0.71
002168.SZ,惠程科技,电力设备及新能源,1.65
300423.SZ,鲁亿通,电力设备及新能源,1.50
002189.SZ,中光学,电子,1.15
300747.SZ,锐科激光,电子,1.12
600387.SH,海越能源,石油石化,1.12
000968.SZ,蓝焰控股,石油石化,0.72
600398.SH,海澜之家,纺织服装,1.01
603518.SH,锦泓集团,纺织服装,0.75
000839.SZ,中信国安,综合,1.90
300662.SZ,科锐国际,综合,0.79
300454.SZ,深信服,计算机,0.83
300458.SZ,全志科技,计算机,0.81
600800.SH,天津磁卡,轻工制造,1.71
002751.SZ,易尚展示,轻工制造,0.92
300571.SZ,平治信息,通信,1.40
002316.SZ,亚联发展,通信,0.90
601005.SH,重庆钢铁,钢铁,0.92
601003.SH,柳钢股份,钢铁,0.85
600036.SH,招商银行,银行,0.63
601838.SH,成都银行,银行,0.62
600901.SH,江苏租赁,非银行金融,0.98
002608.SZ,江苏国信,非银行金融,0.84
002507.SZ,涪陵榨菜,食品饮料,0.77
603156.SH,养元饮品,食品饮料,0.75
