code,name,industry,weight
300226.SZ,上海钢联,传媒,0.78
002174.SZ,游族网络,传媒,0.78
000048.SZ,康达尔,农林牧渔,0.53
300189.SZ,神农科技,农林牧渔,0.53
300122.SZ,智飞生物,医药,3.19
300142.SZ,沃森生物,医药,3.19
000516.SZ,国际医学,商贸零售,0.41
000560.SZ,我爱我家,商贸零售,0.41
600855.SH,航天长峰,国防军工,0.72
600862.SH,中航高科,国防军工,0.72
300132.SZ,青松股份,基础化工,0.70
300107.SZ,建新股份,基础化工,0.70
300272.SZ,开能健康,家电,2.68
002032.SZ,苏泊尔,家电,2.68
002225.SZ,濮耐股份,建材,0.65
002798.SZ,帝欧家居,建材,0.65
300506.SZ,名家汇,建筑,1.62
002755.SZ,奥赛康,建筑,1.62
601155.SH,新城控股,房地产,2.30
600724.SH,宁波富达,房地产,2.30
603260.SH,合盛硅业,有色金属,1.13
000831.SZ,五矿稀土,有色金属,1.13
603486.SH,科沃斯,机械,0.99
300280.SZ,紫天科技,机械,0.99
002607.SZ,中公教育,汽车,1.49
300176.SZ,派生科技,汽车,1.49
002159.SZ,三特索道,消费者服务,0.38
002059.SZ,云南旅游,消费者服务,0.38
600740.SH,山西焦化,煤炭,0.48
002753.SZ,永东股份,煤炭,0.48
000037.SZ,深南电A,电力及公用事业,1.32
000720.SZ,新能泰山,电力及公用事业,1.32
002168.SZ,惠程科技,电力设备及新能源,0.81
300423.SZ,鲁亿通,电力设备及新能源,0.81
002189.SZ,中光学,电子,2.05
300747.SZ,锐科激光,电子,2.05
600387.SH,海越能源,石油石化,0.88
000968.SZ,蓝焰控股,石油石化,0.88
600398.SH,海澜之家,纺织服装,0.07
603518.SH,锦泓集团,纺织服装,0.07
000839.SZ,中信国安,综合,0.15
300662.SZ,科锐国际,综合,0.15
300454.SZ,深信服,计算机,0.94
300458.SZ,全志科技,计算机,0.94
600800.SH,天津磁卡,轻工制造,0.12
002751.SZ,易尚展示,轻工制造,0.12
300571.SZ,平治信息,通信,1.09
002316.SZ,亚联发展,通信,1.09
601005.SH,重庆钢铁,钢铁,0.51
601003.SH,柳钢股份,钢铁,0.51
600036.SH,招商银行,银行,8.09
601838.SH,成都银行,银行,8.09
600901.SH,江苏租赁,非银行金融,8.97
002608.SZ,江苏国信,非银行金融,8.97
002507.SZ,涪陵榨菜,食品饮料,4.59
603156.SH,养元饮品,食品饮料,4.59
